,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
8286,PP Merchandising...,4.2,61,Private,Chennai + 16 more,23 years old,201-500 Employees (India),Retail
8287,Forbes Facility ...,4.2,61,Private,"Mumbai,Maharashtra + 10 more",16 years old,1k-5k Employees (India),Food Processing
8288,LGB Forge,3.6,61,Public,"Coimbatore,Tamil Nadu + 4 more",16 years old,51-200 Employees (India),Manufacturing
8289,Srijan Realty,3.4,61,,Kolkata,19 years old,,Financial Services
8290,Joister Infomedi...,3.2,61,,Mumbai + 3 more,20 years old,,Internet
8291,BBNL,4.5,61,Public,New Delhi + 31 more,10 years old,1k-5k Employees (India),Financial Services
8292,Reliance Lifesty...,4.3,61,Public,"Bombay,maharashtra + 16 more",49 years old,51-200 Employees (India),Retail
8293,Junglee Games,4.1,61,Private,"Delhi,NCT + 2 more",10 years old,501-1k Employees (India),Gaming
8294,Gokul Agro Resou...,3.9,61,Public,"Ahmedabad,Gujarat + 4 more",8 years old,1k-5k Employees (India),Oil & Gas
8295,Sun N Sand,4.4,61,,Mumbai + 8 more,60 years old,,Hotels & Restaurants
8296,Oil Field Instru...,2.9,61,,Mumbai + 7 more,30 years old,,Oil / Gas / Petro Chemicals
8297,An Pharmaceutica...,3.1,61,Private,"New Delhi,Delhi + 10 more",21 years old,51-200 Employees (India),Pharmaceutical & Life Sciences
8298,6D Technologies,3.9,61,,"Bangalore/Bengaluru,Karnataka + 2 more",20 years old,,Telecom / ISP
8299,Adhikar Microfin...,3.8,61,Private,Bhubaneswar + 8 more,18 years old,51-200 Employees (India),Financial Services
8300,NIFA Infocomp Se...,3.7,61,Private,"Delhi/NCR,Delhi + 14 more",16 years old,11-50 Employees (India),Education / Training
8301,DEVU TOOLS,4.3,61,Private,Mumbai + 1 more,29 years old,51-200 Employees (India),Industrial Automation
8302,Aster Teleservic...,4.7,61,Private,Hyderabad + 12 more,24 years old,1k-5k Employees (India),Telecom / ISP
8303,TUV Rheinland Gr...,4.1,61,,Cologne + 18 more,150 years old,,Miscellaneous
8304,Sac Engine Compo...,3.7,61,,Chennai + 2 more,36 years old,,Auto Components
8305,Imperial Electri...,4.1,61,Private,Kolkata + 15 more,11 years old,501-1k Employees (India),Manufacturing
8306,Seva Automotive,3.7,61,Private,Nasik + 3 more,37 years old,201-500 Employees (India),Automobile
8307,FMI Automotive C...,4.3,61,,,,51-200 Employees (India),Auto Components
8308,Winsome Textile ...,4.1,61,Public,"Chandigarh,Chandigarh + 5 more",32 years old,501-1k Employees (India),Manufacturing
8309,Mangalore Chemic...,4.2,61,Public,"Bangalore/Bengaluru,Karnataka + 5 more",48 years old,501-1k Employees (India),Fertilizers / Pesticides / Agro chemicals
8310,SKYMAP PHARMACEU...,3.9,61,,Faridabad + 1 more,15 years old,,Healthcare / Pharma
8311,Rakshit Drugs,3.3,61,Private,Hyderabad + 3 more,22 years old,201-500 Employees (India),Healthcare / Pharma
8312,Oil Field Instru...,2.9,61,,Mumbai + 7 more,30 years old,,Oil / Gas / Petro Chemicals
8313,Woodlands Multis...,3.7,61,,Kolkata + 1 more,76 years old,,Healthcare / Pharma
8314,Anchor Offshore ...,3.2,61,,Mumbai + 7 more,39 years old,,Engineering & Construction
8315,Forbes Facility ...,4.2,61,Private,"Mumbai,Maharashtra + 10 more",16 years old,1k-5k Employees (India),Food Processing
8316,LGB Forge,3.6,61,Public,"Coimbatore,Tamil Nadu + 4 more",16 years old,51-200 Employees (India),Manufacturing
8317,Kalpa Electrikal,3.5,61,Private,"Bangalore/Bengaluru,Karnataka + 5 more",44 years old,501-1k Employees (India),Financial Services
8318,TeraSoftware,4.1,61,Public,Hyderabad + 12 more,28 years old,501-1k Employees (India),IT Services & Consulting
8319,Wadhokar,3.6,61,Private,Pune + 2 more,54 years old,51-200 Employees (India),Manufacturing
8320,Zebra Technologi...,4.3,61,Private,"Lincolnshire,Illinois + 6 more",53 years old,51-200 Employees (India),Internet
8321,Apex Auto,3.8,61,Public,Jamshedpur + 8 more,28 years old,201-500 Employees (India),Industrial Equipment / Machinery
8322,Groz - Beckert A...,3.7,61,Private,Albstadt + 5 more,170 years old,201-500 Employees (India),Manufacturing
8323,Asit C Mehta Inv...,3.8,61,Private,"Mumbai,Maharashtra + 10 more",37 years old,51-200 Employees (India),Financial Services
8324,Panzer Technolog...,4.8,61,Private,Hyderabad,16 years old,51-200 Employees (Global),IT Services & Consulting
8325,Webguru Infosyst...,4.5,61,Private,"Kolkata,West Bengal",17 years old,201-500 Employees (India),IT Services & Consulting
8326,Morpheus Human C...,4.6,61,Private,"Mumbai,Maharashtra + 5 more",17 years old,11-50 Employees (India),Recruitment / Staffing
8327,Blue Rose Techno...,3.9,61,Private,"Miami,Florida + 7 more",12 years old,1k-5k Employees (India),IT Services & Consulting
8328,VaaaN Infra,3.9,61,Private,"Faridabad,Haryana + 7 more",11 years old,51-200 Employees (India),Internet
8329,Sharayu Toyota,4.3,61,Private,Aurangabad + 4 more,12 years old,5k-10k Employees (India),Automobile
8330,Swastik Infra-lo...,4.1,61,Private,Mumbai + 9 more,,,Engineering & Construction
8331,BPO Systems,3.8,61,Private,"Walnut Creek,California + 23 more",22 years old,51-200 Employees (Global),BPO / Call Centre
8332,Ray Business Tec...,3.4,61,Private,"Hyderabad/Secunderabad,Telangana",14 years old,51-200 Employees (India),Hardware & Networking
8333,Joister Infomedi...,3.2,61,,Mumbai + 3 more,20 years old,,Internet
8334,SMERA Ratings,3.8,61,Private,"Mumbai,Maharashtra + 14 more",17 years old,201-500 Employees (Global),Financial Services
8335,VAP Technology,3.4,61,,Kolkata,11 years old,,IT Services & Consulting
8336,PP Merchandising...,4.2,61,Private,Chennai + 16 more,23 years old,201-500 Employees (India),Retail
8337,Sanathan Textile...,4.3,61,,Mumbai + 4 more,21 years old,,Manufacturing
8338,Concept Pharmace...,3.1,61,,Mumbai + 10 more,38 years old,,Pharmaceutical & Life Sciences
8339,Kamal Fincap,4,61,,Kota + 25 more,9 years old,,Financial Services
8340,Chelsea Mills LL...,3.1,61,LLP,"Gurgaon/Gurugram,Haryana + 2 more",44 years old,501-1k Employees (India),Import & Export
8341,bgr Mining infra...,4.4,61,Private,Hyderabad + 8 more,34 years old,201-500 Employees (India),Metals & Mining
8342,Saya homes,3.7,61,,Ghaziabad + 2 more,22 years old,,Real Estate
8343,S10 Healthcare S...,3.5,61,Private,Chennai + 1 more,9 years old,201-500 Employees (India),Healthcare / Pharma
8344,Curatio Healthca...,4.7,61,Private,Chennai + 13 more,17 years old,201-500 Employees (India),Healthcare / Pharma
8345,Alpha Maier,3.9,61,,Gurgaon + 5 more,11 years old,,Auto Components
8346,Robo Silicon,4.1,61,Private,Hyderabad + 6 more,23 years old,201-500 Employees (India),Metals & Mining
8347,Shinhan Bank,3.5,61,Public,"Seoul,Jung-gu + 7 more",40 years old,51-200 Employees (India),Financial Services
8348,Saffron Lifestyl...,4.3,61,Private,Ahmedabad + 10 more,25 years old,51-200 Employees (India),Textile & Apparel
8349,Modern Public Sc...,4.3,61,,Faridabad + 18 more,48 years old,,Education / Training
8350,Comed Chemicals,3.9,61,,Vadodara + 11 more,36 years old,,Pharmaceutical & Life Sciences
8351,Slate The School,4.4,61,,Hyderabad + 4 more,21 years old,,Education / Training
8352,Capital Business...,4.1,61,,"Delhi/NCR,New Delhi + 11 more",72 years old,,IT Services & Consulting
8353,EMSON GEARS,4.2,61,Private,Ludhiana + 1 more,52 years old,1k-5k Employees (India),Auto Components
8354,Seaways Shipping...,3.9,61,Private,"Hyderabad/Secunderabad,Telangana + 12 more",33 years old,501-1k Employees (India),Courier / Logistics
8355,Hi-Tech Arai,3.7,61,,Madurai + 6 more,37 years old,,Auto Components
8356,Ashwini Hospital,4,61,Private,Cuttack + 11 more,35 years old,,Healthcare / Pharma
8357,Woodlands Multis...,3.7,61,,Kolkata + 1 more,76 years old,,Healthcare / Pharma
8358,SKYMAP PHARMACEU...,3.9,61,,Faridabad + 1 more,15 years old,,Healthcare / Pharma
8359,Rakshit Drugs,3.3,61,Private,Hyderabad + 3 more,22 years old,201-500 Employees (India),Healthcare / Pharma
8360,Mangalore Chemic...,4.2,61,Public,"Bangalore/Bengaluru,Karnataka + 5 more",48 years old,501-1k Employees (India),Fertilizers / Pesticides / Agro chemicals
8361,Asit C Mehta Inv...,3.8,61,Private,"Mumbai,Maharashtra + 10 more",37 years old,51-200 Employees (India),Financial Services
8362,Panzer Technolog...,4.8,61,Private,Hyderabad,16 years old,51-200 Employees (Global),IT Services & Consulting
8363,Wadhokar,3.6,61,Private,Pune + 2 more,54 years old,51-200 Employees (India),Manufacturing
8364,Groz - Beckert A...,3.7,61,Private,Albstadt + 5 more,170 years old,201-500 Employees (India),Manufacturing
8365,Unique Builders,3.6,61,Private,Jaipur + 10 more,20 years old,51-200 Employees (India),Engineering & Construction
8366,LinkedIn,4.6,61,Private,"Sunnyvale,California + 2 more",19 years old,1k-5k Employees (India),Internet
8367,ServiceNow,4.1,61,Private,Santa Clara + 5 more,18 years old,1k-5k Employees (India),IT Services & Consulting
8368,V2soft,3.6,61,Private,"Bloomfield Hills,Michigan + 2 more",24 years old,51-200 Employees (India),Hardware & Networking
8369,Ray Business Tec...,3.4,61,Private,"Hyderabad/Secunderabad,Telangana",14 years old,51-200 Employees (India),Hardware & Networking
8370,Vengai Software ...,4.5,61,,Hyderabad + 1 more,12 years old,,IT Services & Consulting
8371,Aero Club-Woodla...,3.9,61,,New Delhi + 20 more,30 years old,,Airlines / Aviation / Aerospace
8372,Capstone Securit...,4.1,61,Private,"Pune,Maharashtra",18 years old,201-500 Employees (India),Investment Banking / Venture Capital / Private Equity
8373,VGM Consultants,3.9,61,Private,"Kolkata,West Bengal + 15 more",8 years old,501-1k Employees (India),Financial Services
8374,K K Construction,3.7,61,Private,Noida + 19 more,31 years old,51-200 Employees (India),Engineering & Construction
8375,L&T Power Develo...,4.2,61,Private,Mumbai + 7 more,,,Power
8376,Solarig Gensol U...,4.4,61,Private,"Ahmedabad,Gujarat + 8 more",7 years old,11-50 Employees (India),Power
8377,Trn Energy,3.7,61,,Raipur + 6 more,16 years old,,Power
8378,HR Food Processi...,3.8,61,,Ranchi + 7 more,12 years old,,Food Processing
8379,Oerlikon Balzers,3.7,61,,Pune + 9 more,28 years old,,Metals & Mining
8380,"Ecos (india), Mo...",4,61,,New Delhi + 9 more,26 years old,,Urban Transport
8381,EC-Mobility,3.9,61,LLP,"Aurangabad,Maharashtra + 1 more",5 years old,201-500 Employees (India),IT Services & Consulting
8382,Haribhakti & Co....,2.3,61,,Mumbai + 9 more,,201-500 Employees (India),Accounting / Auditing
8383,Zeiss Pharma,3.9,61,Private,Baddi + 6 more,8 years old,51-200 Employees (India),Healthcare / Pharma
8384,ITELLIGENCE INDI...,4,61,,Bielefeld + 4 more,34 years old,,IT Services & Consulting
8385,Amoda Group of I...,4,61,,Hyderabad + 3 more,18 years old,,Metals & Mining
8386,Auraine Botanica...,4,61,Private,Gurgaon + 5 more,8 years old,51-200 Employees (India),Beauty & Wellness
8387,Kärcher Cleaning...,3.5,61,Private,Winnenden + 17 more,87 years old,201-500 Employees (India),
8388,Ekeeda,4.8,61,Private,"Mumbai,Maharashtra + 3 more",6 years old,51-200 Employees (India),Internet
8389,Father Muller Me...,4.4,61,,Mangaluru + 1 more,142 years old,,Healthcare / Pharma
8390,Coherent Market ...,4.1,61,Private,"Seattle,Washington",6 years old,201-500 Employees (India),Food Processing
8391,Emeritus Institu...,4.1,61,Private,"Singapore,Singapore + 1 more",7 years old,11-50 Employees (India),Internet
8392,Wellness Forever...,4.2,61,,Mumbai + 9 more,,1k-5k Employees (India),Retail
8393,Freelancer.com,4.1,61,,"Delhi,NCT + 18 more",11 years old,,
8394,Ashima Group,3.9,61,Public,"Ahmedabad,Gujarat + 1 more",40 years old,501-1k Employees (India),Textile & Apparel
8395,GUS Education,3.2,61,,"Hyderabad/Secunderabad,Telangana + 1 more",5 years old,,e-Learning / EdTech
8396,Successive Techn...,4.3,61,Private,"Noida,Uttar Pradesh + 1 more",10 years old,501-1k Employees (India),IT Services & Consulting
8397,Accentuate Busin...,3.7,61,,Gurgaon/Gurugram + 9 more,,1 Lakh+ Employees (India),
8398,SACHA Engineerin...,3.5,61,,"Gersthofen,Bavaria + 4 more",,51-200 Employees (India),Automobile
8399,Successive Techn...,4.3,61,Private,"Noida,Uttar Pradesh + 1 more",10 years old,501-1k Employees (India),IT Services & Consulting
8400,Freelancer.com,4.1,61,,"Delhi,NCT + 18 more",11 years old,,
8401,SACHA Engineerin...,3.5,61,,"Gersthofen,Bavaria + 4 more",,51-200 Employees (India),Automobile
8402,GUS Education,3.2,61,,"Hyderabad/Secunderabad,Telangana + 1 more",5 years old,,e-Learning / EdTech
8403,Floating Numbers...,3.4,61,Private,"Kolkata,West Bengal + 1 more",4 years old,51-200 Employees (India),BPO / Call Centre
8404,Kärcher Cleaning...,3.5,61,Private,Winnenden + 17 more,87 years old,201-500 Employees (India),
8405,Capri Global Hou...,3.7,61,Private,Mumbai + 30 more,25 years old,10k-50k Employees (India),Financial Services
8406,WovVTech,4.7,61,Private,"Mumbai,Maharashtra + 2 more",6 years old,51-200 Employees (India),IT Services & Consulting
8407,7Search PPC,4.7,61,,"29079 Whitegate Highland,CA 92346 + 5 more",8 years old,,
8408,Wood PLC,4,61,,Gurgaon/Gurugram + 6 more,,1k-5k Employees (India),Engineering & Construction
8409,INFOCRUNCH ANALY...,4.2,61,,New Delhi + 4 more,,51-200 Employees (India),Analytics / KPO / Research
8410,SATTRIX Informat...,3.1,61,Private,Ahmedabad + 7 more,9 years old,51-200 Employees (India),IT Services & Consulting
8411,BCITS,4.1,61,Private,"Bangalore/Bengaluru,Karnataka + 17 more",23 years old,51-200 Employees (India),IT Services & Consulting
8412,ASSA ABLOY,4.2,61,Public,"Stockholm,Stockholm County + 13 more",17 years old,51-200 Employees (India),Building Material
8413,U K Paints,3.8,1800,,New Delhi + 6 more,103 years old,,Building Material
8414,State Street Ban...,3.8,1400,Private,Boston + 8 more,230 years old,1 Lakh+ Employees (India),Financial Services
8415,TVS Sreechakra L...,3.7,294,,"Chennai,Tamil Nadu + 14 more",25 years old,,Automobile
8416,Chiripal Group,3.7,194,Private,Ahmedabad + 4 more,50 years old,10k-50k Employees (India),Manufacturing
8417,DiGiSPICE,4.1,155,Public,"Noida,Uttar Pradesh + 9 more",22 years old,501-1k Employees (India),Internet
8418,Electronic Arts,4.1,71,Private,Redwood City,40 years old,1k-5k Employees (India),Gaming
8419,Equifax,3.7,67,Public,"Atlanta,Georgia + 5 more",12 years old,201-500 Employees (India),Financial Services
8420,3DPLM Software S...,4,60,Private,Mumbai + 1 more,21 years old,1k-5k Employees (India),IT Services & Consulting
8421,Dhruv Globals,4.2,60,Public,Faridabad + 2 more,22 years old,51-200 Employees (India),Manufacturing
8422,Intec Capital,4.1,60,Public,"Delhi/NCR,New Delhi + 8 more",28 years old,51-200 Employees (India),Financial Services
8423,Ardom Telecom,3.8,60,,Gurgaon + 7 more,13 years old,,Facility Management Services
8424,VST Motors,4.1,60,Private,Chennai + 11 more,73 years old,1k-5k Employees (India),Automobile
8425,Web Spiders,2.9,60,Private,New York + 3 more,22 years old,51-200 Employees (India),IT Services & Consulting
8426,Combined Group C...,4.3,60,,Ardiya + 4 more,57 years old,,Banking / Insurance / Accounting
8427,Construction Gro...,3.9,60,,Mumbai + 23 more,,51-200 Employees (India),Engineering & Construction
8428,MSG Global Solut...,3.6,60,Private,"Regensdorf,Zurich + 1 more",14 years old,201-500 Employees (India),IT Services & Consulting
8429,PCS-Global,3.8,60,Private,Kolkata + 1 more,12 years old,1k-5k Employees (India),Education / Training
8430,Nxtra Data,3.8,60,Public,"Gurgaon,Haryana + 8 more",9 years old,51-200 Employees (India),Internet
8431,MyGlamm,3.7,60,,Mumbai + 16 more,7 years old,,Beauty & Personal Care
8432,Funfirst Global ...,3.1,60,Private,"Mumbai,Maharashtra + 14 more",21 years old,51-200 Employees (Global),Financial Services
8433,Alufit India,4.3,60,,Bengaluru + 7 more,38 years old,,Architecture / Interior Design
8434,UCC,4.5,60,Private,Lusail + 10 more,11 years old,5k-10k Employees (Global),Engineering & Construction
8435,ETA General,2.9,60,,New Delhi + 16 more,86 years old,,Import & Export
8436,Hotel The Royal ...,3.2,60,Private,New Delhi + 2 more,53 years old,501-1k Employees (Global),Hotels & Restaurants
8437,Shine,3.7,60,Private,Gurgaon + 15 more,14 years old,11-50 Employees (India),Internet
8438,TDI Internationa...,3.6,60,Private,"Delhi/NCR,Delhi + 10 more",36 years old,501-1k Employees (India),Financial Services
8439,ICRI,4.3,60,Private,New Delhi + 5 more,18 years old,201-500 Employees (India),Education / Training
8440,Government of Ha...,4,60,Private,Chandigarh + 18 more,56 years old,10k-50k Employees (India),Financial Services
8441,Infocus Technolo...,3.2,60,Private,"Kolkata,West Bengal + 9 more",15 years old,11-50 Employees (India),Financial Services
8442,3DPLM Software S...,4,60,Private,Mumbai + 1 more,21 years old,1k-5k Employees (India),IT Services & Consulting
8443,Forza Medi,3.8,60,Private,Gurugram,22 years old,51-200 Employees (India),Medical Devices & Equipment
8444,Polyplastics,4.2,60,,Tokyo + 10 more,60 years old,,Petrochemical / Plastics / Rubber
8445,Ori-Plast,3.6,60,,Kolkata + 11 more,57 years old,,Financial Services
8446,KARL STORZ,4,60,Private,Tuttlingen + 12 more,77 years old,51-200 Employees (India),Healthcare / Pharma
8447,Awfis,4,60,Private,"Delhi,NCT + 9 more",7 years old,501-1k Employees (India),Internet
8448,Utkal Automobile...,4.2,60,,Bhubaneswar + 5 more,67 years old,,Automobile
8449,Idexcel Technolo...,3.9,60,Private,"Herndon,Virginia + 3 more",24 years old,51-200 Employees (India),IT Services & Consulting
8450,Captain Tractors,3.9,60,,Rajkot + 9 more,28 years old,,Automobile
8451,Kruger Ventilati...,3.8,60,Private,Singapore + 7 more,37 years old,201-500 Employees (India),Industrial Equipment / Machinery
8452,Avance Consultin...,4,60,Private,"Somerset,NJ + 1 more",15 years old,51-200 Employees (India),Recruitment / Staffing
8453,JCBL,3.8,60,Public,"Mohali,Punjab + 5 more",33 years old,1k-5k Employees (India),Automobile
8454,ESDEE PAINTS,2.7,60,Public,"Mumbai,Maharashtra + 10 more",59 years old,201-500 Employees (India),Chemicals / Agri Inputs
8455,Garuda Polyflex ...,4.4,60,Private,"Bangalore/Bengaluru,Karnataka + 11 more",10 years old,501-1k Employees (India),FMCG
8456,Bandhan Financia...,3.9,60,Public,"Kolkata,West Bengal + 25 more",21 years old,10k-50k Employees (Global),Financial Services
8457,Agriculture Insu...,4.2,60,Government,"Delhi,NCT + 27 more",20 years old,201-500 Employees (India),Banking / Insurance / Accounting
8458,Combined Group C...,4.3,60,,Ardiya + 4 more,57 years old,,Banking / Insurance / Accounting
8459,Lotus Labs,4.3,60,Private,Bangalore + 3 more,21 years old,201-500 Employees (India),Analytics / KPO / Research
8460,GILLANDERS ARBUT...,3.7,60,Public,"Kolkata,West Bengal + 13 more",87 years old,1k-5k Employees (India),Financial Services
8461,Toyota Boshoku A...,4.5,60,Private,Kariya City + 6 more,103 years old,51-200 Employees (India),Auto Components
8462,Idexcel Technolo...,3.9,60,Private,"Herndon,Virginia + 3 more",24 years old,51-200 Employees (India),IT Services & Consulting
8463,Captain Tractors,3.9,60,,Rajkot + 9 more,28 years old,,Automobile
8464,Kruger Ventilati...,3.8,60,Private,Singapore + 7 more,37 years old,201-500 Employees (India),Industrial Equipment / Machinery
8465,Derewala Jewelle...,3.5,60,Private,Jaipur,35 years old,201-500 Employees (India),Gems & Jewellery
8466,SeedWorks Intern...,4.6,60,Private,"Hyderabad,Telangana + 20 more",24 years old,201-500 Employees (India),Agriculture / Forestry / Fishing
8467,BD,4.3,60,Private,"Franklin Lakes,New Jersey + 10 more",125 years old,501-1k Employees (India),Healthcare / Pharma
8468,Canam Consultant...,4,60,Private,Chandigarh + 14 more,26 years old,51-200 Employees (India),Management Consulting
8469,Infocus Technolo...,3.2,60,Private,"Kolkata,West Bengal + 9 more",15 years old,11-50 Employees (India),Financial Services
8470,Hindustan Dorr O...,2.9,60,Private,"Mumbai,Maharashtra + 6 more",48 years old,10k-50k Employees (India),Engineering & Construction
8471,Reinforced Earth,4,60,Private,Rueil-Malmaison + 7 more,16 years old,201-500 Employees (India),Engineering & Construction
8472,TDI Internationa...,3.6,60,Private,"Delhi/NCR,Delhi + 10 more",36 years old,501-1k Employees (India),Financial Services
8473,ICRI,4.3,60,Private,New Delhi + 5 more,18 years old,201-500 Employees (India),Education / Training
8474,Secure Parking S...,4.7,60,Private,Mumbai + 10 more,43 years old,1k-5k Employees (India),Urban Transport
8475,IANT,3.2,60,Private,Vadodara + 24 more,23 years old,1 Lakh+ Employees (India),Education / Training
8476,Lifeline Hospita...,4.3,60,Private,"Chennai,Tamil Nadu + 20 more",25 years old,201-500 Employees (Global),Medical Services / Hospital
8477,PCS-Global,3.8,60,Private,Kolkata + 1 more,12 years old,1k-5k Employees (India),Education / Training
8478,Nxtra Data,3.8,60,Public,"Gurgaon,Haryana + 8 more",9 years old,51-200 Employees (India),Internet
8479,Funfirst Global ...,3.1,60,Private,"Mumbai,Maharashtra + 14 more",21 years old,51-200 Employees (Global),Financial Services
8480,UCC,4.5,60,Private,Lusail + 10 more,11 years old,5k-10k Employees (Global),Engineering & Construction
8481,MyGlamm,3.7,60,,Mumbai + 16 more,7 years old,,Beauty & Personal Care
8482,Ceragem,3.6,60,,Los Angeles + 18 more,24 years old,,Healthcare / Pharma
8483,Ori-Plast,3.6,60,,Kolkata + 11 more,57 years old,,Financial Services
8484,Alufit India,4.3,60,,Bengaluru + 7 more,38 years old,,Architecture / Interior Design
8485,Omnex,4.3,60,Private,"Ann Arbor,Michigan + 4 more",26 years old,201-500 Employees (India),Financial Services
8486,ETA General,2.9,60,,New Delhi + 16 more,86 years old,,Import & Export
8487,Sunrise Hospital,4.3,60,Private,"Delhi/NCR,Delhi + 17 more",64 years old,201-500 Employees (Global),Medical Services / Hospital
8488,ATUL MOTORS,3.7,60,,Jamnagar + 3 more,22 years old,,Automobile
8489,Vardhman Acrylic...,4.2,60,Public,"Bharuch,Gujarat + 5 more",32 years old,1k-5k Employees (India),Textile & Apparel
8490,Rachna Sagar,3.1,60,Private,New Delhi + 10 more,27 years old,51-200 Employees (India),Printing & Publishing
8491,Blue Consulting,3.7,60,Private,Noida + 3 more,17 years old,51-200 Employees (India),Consulting
8492,SJS Enterprises,4,60,,Bengaluru + 4 more,35 years old,,Auto Components
8493,Ognibene India,4,60,,Reggio Emilia + 2 more,69 years old,,Industrial Equipment / Machinery
8494,Oasis Resource M...,4,60,Private,New Delhi + 1 more,22 years old,51-200 Employees (India),Miscellaneous
8495,Icl Fincorp,3.8,60,Private,"Thrissur/Trichur,Kerala + 12 more",23 years old,51-200 Employees (India),Financial Services
8496,New Saraswati Ho...,3.9,60,,New Delhi + 16 more,72 years old,,Education / Training
8497,Fragomen Immigra...,4.1,60,Private,New York + 4 more,71 years old,51-200 Employees (India),Travel & Tourism
8498,Punjab Kesari,3.6,60,Private,"Delhi/NCR,Delhi + 9 more",57 years old,10k-50k Employees (Global),Events / Live Entertainment
8499,Al Ansari Tradin...,3.2,60,,Muscat + 1 more,47 years old,,Engineering & Construction
8500,Greendot Health ...,4.3,60,,"Faridabad,Haryana + 11 more",13 years old,,FMCG
8501,Avance Consultin...,4,60,Private,"Somerset,NJ + 1 more",15 years old,51-200 Employees (India),Recruitment / Staffing
8502,ESDEE PAINTS,2.7,60,Public,"Mumbai,Maharashtra + 10 more",59 years old,201-500 Employees (India),Chemicals / Agri Inputs
8503,Rapid Global Bus...,4,60,Private,Troy + 4 more,25 years old,201-500 Employees (India),Management Consulting
8504,Shotformats Digi...,1.8,60,Private,"Mumbai,Maharashtra + 5 more",15 years old,201-500 Employees (India),Internet
8505,Garuda Polyflex ...,4.4,60,Private,"Bangalore/Bengaluru,Karnataka + 11 more",10 years old,501-1k Employees (India),FMCG
8506,Assam down town ...,2.9,60,Private,"Guwahati,Assam",12 years old,201-500 Employees (India),Education / Training
8507,JCBL,3.8,60,Public,"Mohali,Punjab + 5 more",33 years old,1k-5k Employees (India),Automobile
8508,Agriculture Insu...,4.2,60,Government,"Delhi,NCT + 27 more",20 years old,201-500 Employees (India),Banking / Insurance / Accounting
8509,Mitel,3.7,60,Private,"Kanata,Ontario + 2 more",50 years old,501-1k Employees (India),Telecom / ISP
8510,Kuber Enterprise...,4.3,60,,"Kochi,Kerala + 5 more",23 years old,,Engineering & Construction
8511,Oremus Corporate...,3.5,60,Private,Hyderabad,20 years old,51-200 Employees (India),Financial Services
8512,Allena Auto Indu...,3.4,60,Private,Mohali + 3 more,46 years old,201-500 Employees (India),Import & Export
8513,Rishita Develope...,4,60,Private,Lucknow + 1 more,13 years old,51-200 Employees (India),Real Estate
8514,Al Muzain,4.4,60,Private,Al Jubail + 4 more,26 years old,1k-5k Employees (India),Oil & Gas
8515,Sky Automobiles,4.4,60,Private,Raipur + 4 more,35 years old,501-1k Employees (India),Automobile
8516,Vestian Global W...,3.2,60,Private,Chicago + 5 more,12 years old,51-200 Employees (India),Real Estate
8517,Defence Research...,4.4,60,,Hyderabad/Secunderabad + 2 more,,1k-5k Employees (India),
8518,Toppan Merrill T...,3.9,60,,"New York,New York",,201-500 Employees (India),IT Services & Consulting
8519,Ocrolus East,4,60,Private,"New York City,New York + 2 more",8 years old,201-500 Employees (India),Internet
8520,Smartchem Techno...,3.9,60,Public,Pune + 14 more,35 years old,51-200 Employees (India),Fertilizers / Pesticides / Agro chemicals
8521,DST Systems,3.8,60,Private,"Windsor,Connecticut + 4 more",53 years old,1k-5k Employees (India),Financial Services
8522,FONTY Supply Cha...,4.3,60,,Mandideep + 4 more,,51-200 Employees (India),
8523,JAAC TECHNO SERV...,4.1,60,,Vadodara + 8 more,13 years old,,Industrial Equipment / Machinery
8524,Propshop,2.8,60,Private,"Noida,Uttar Pradesh + 2 more",8 years old,501-1k Employees (India),Real Estate
8525,Vserve Ebusiness...,4.6,60,,New York + 6 more,18 years old,,IT Services & Consulting
8526,Promaestro Techs...,4.6,60,Private,Hyderabad + 1 more,14 years old,51-200 Employees (India),IT Services & Consulting
8527,FINNEW SOLUTIONS,4.4,60,Private,"Bangalore/Bengaluru,Karnataka + 20 more",7 years old,201-500 Employees (India),Financial Services
8528,U C S K M Public...,5,60,,,,11-50 Employees (India),Education / Training
8529,Tvs Brakes India...,4.2,60,,Ranipet + 9 more,,10k-50k Employees (India),Auto Components
8530,Aditya Birla Ins...,4.3,60,Public,Veraval + 16 more,19 years old,201-500 Employees (India),Financial Services
8531,Desnor Destinati...,4.2,60,,,,,Travel & Tourism
8532,Herbalife,4.2,60,,"Los Angeles,California + 20 more",42 years old,,Internet
8533,Fortius Technolo...,3.9,60,,New Delhi + 17 more,14 years old,,IT Services & Consulting
8534,Legato Health T...,4,60,,Hyderabad/Secunderabad + 2 more,,10k-50k Employees (India),IT Services & Consulting
8535,East Wind Footwe...,4,60,,Cheyyar + 2 more,,1k-5k Employees (India),Textile & Apparel
8536,Kovai.co,4.6,60,,"Sidcup,England",13 years old,,Software Product
8537,Ola cars,3.4,60,,Guwahati + 19 more,,501-1k Employees (India),
8538,Manav Rachna Int...,3.2,60,Private,"Faridabad,Haryana + 1 more",18 years old,51-200 Employees (India),Education / Training
8539,Aapna Infotech,4.7,60,,"Delhi/NCR,New Delhi + 1 more",15 years old,,IT Services & Consulting
8540,Excell Autovista,3.7,60,Private,"Mumbai,Maharashtra + 4 more",18 years old,501-1k Employees (India),Automobile
