,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
355,GVK Emergency Ma...,3.8,1200,Private,"Hyderabad/Secunderabad,Telangana + 104 more",17 years old,10k-50k Employees (India),NGO / Social Services / Industry Associations
356,3i Infotech,3.7,1200,Public,"Mumbai,Maharashtra + 83 more",29 years old,5k-10k Employees (India),IT Services & Consulting
357,Reliance Trends,4.3,1200,Private,"Navi Mumbai,Maharashtra + 240 more",16 years old,1 Lakh+ Employees (India),Retail
358,Myntra,4.2,1300,Private,"Bangalore,Karnataka + 80 more",15 years old,5k-10k Employees (India),Internet
359,Bharti AXA Life ...,3.9,1200,Private,Mumbai + 193 more,16 years old,5k-10k Employees (India),Financial Services
360,Lodha group,4.2,1200,Private,"Mumbai,Maharashtra + 17 more",42 years old,1k-5k Employees (India),Architecture / Interior Design
361,GE,4.2,3100,Private,"Boston,Massachusetts + 53 more",130 years old,10k-50k Employees (India),Oil & Gas
362,Delphi TVS,4,1200,Private,"Kanchipuram,Tamil Nadu + 24 more",33 years old,1k-5k Employees (India),Automobile
363,Tata Motors Fina...,4.3,1200,Private,"Mumbai,Maharashtra + 200 more",65 years old,1k-5k Employees (India),Financial Services
364,Sterlite Technol...,4.2,1200,Public,"Pune,Maharashtra + 51 more",34 years old,5k-10k Employees (India),Internet
365,BlackBuck,4,1200,Private,"Bangalore,Karnataka + 188 more",7 years old,1k-5k Employees (India),Internet
366,ICICI Securities,3.7,1200,Public,"Mumbai,Maharashtra + 99 more",27 years old,5k-10k Employees (India),Financial Services
367,SRF,4.3,1800,Public,"Gurgaon/Gurugram,Haryana + 39 more",52 years old,1k-5k Employees (India),Chemicals
368,BT Group,4.3,2400,Private,London + 11 more,176 years old,10k-50k Employees (India),Telecom / ISP
369,IKS Health,3.6,1200,Private,"Mumbai,Maharashtra + 9 more",15 years old,1k-5k Employees (India),Internet
370,Grasim Industrie...,4.2,6200,Public,Nagda + 49 more,75 years old,10k-50k Employees (India),Chemicals / Agri Inputs
371,Endurance Techno...,3.8,1200,Public,"Aurangabad,Maharashtra + 29 more",37 years old,1k-5k Employees (India),Industrial Equipment / Machinery
372,Mahindra Logisti...,4.1,1200,Public,"Mumbai,Maharashtra + 89 more",22 years old,1k-5k Employees (India),Courier / Logistics
373,Gabriel India,4.3,1200,Public,"Pune,Maharashtra + 32 more",61 years old,1k-5k Employees (India),Automobile
